Nuclear,186,715,0,0,"11,720",0,ND,0,ND,"12,621"
Total,"20,501","71,482","33,550","29,963","64,246","31,401",ND,"52,149","70,000","303,292"
POWER SOURCE,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh
Self-Generated,0,"28,667","4,386","28,394","9,239","1,067",ND,ND,ND,"71,753"
Purchased from Supplier(s),"20,501","42,815","29,164","1,569","55,007","30,334",ND,ND,ND,"179,390"
Total,"20,501","71,482","33,550","29,963","64,246","31,401",ND,ND,"122,000","251,143"

2000,Africa,North America,South America,Asia (ex China),Europe,Oceania,GCC,China,Estimated Unreported,World Reported
Aluminium Production (tonnes),"1,178,557","6,041,000","2,167,000","2,221,000","7,490,000","2,094,000",ND,"2,794,000","671,000","24,656,557"
Reporting Production (tonnes),"1,178,557","5,527,284","2,163,593","1,863,146","4,112,541","1,977,299",0,"2,794,000",ND,"19,616,420"
POWER MIX,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh
Hydro,"6,914","59,324","30,491","3,400","28,449","7,328",ND,"4,325",ND,"140,231"
Coal,"10,844","25,292",0,"9,437","14,286","21,697",ND,"38,923",ND,"120,479"
Oil,0,150,518,378,"1,052",0,ND,0,ND,"2,098"
Natural Gas,0,587,"2,119","15,381","4,894",0,ND,0,ND,"22,981"
Nuclear,0,"1,826",99,0,"14,004",0,ND,0,ND,"15,929"
Total,"17,758","87,179","33,227","28,596","62,685","29,025",ND,"43,248","77,500","301,718"
POWER SOURCE,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh
Self-Generated,0,"29,574","4,124","28,134","2,391","1,108",ND,ND,ND,"65,331"
Purchased from Supplier(s),"17,758","57,605","29,103",462,"60,294","27,917",ND,ND,ND,"193,139"
Total,"17,758","87,179","33,227","28,596","62,685","29,025",ND,ND,"121,500","258,470"

1999,Africa,North America,South America,Asia (ex China),Europe,Oceania,GCC,China,Estimated Unreported,World Reported
Aluminium Production (tonnes),ND,ND,ND,ND,ND,ND,ND,ND,-,"23,721,000"
Reporting Production (tonnes),"1,080,888","5,657,919","2,001,491","1,753,352","4,004,141","2,048,655",0,"2,598,000","4,576,554","19,144,446"
POWER MIX,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh
Hydro,"6,347","63,398","27,941","2,643","28,934","7,194",ND,"4,054",ND,"140,511"
Coal,"9,706","22,119",0,"9,591","12,181","23,233",ND,"36,483",ND,"113,313"
Oil,0,24,593,99,"1,434",0,ND,0,ND,"2,150"
