"Technology","Size","Year","Data_type","Aeo_case","Aeo_year","Unit","Value"
"BEV300","Car",2034,"sales","HOP",2018,"vehicle",23802
"CNG","Car",2034,"sales","HOP",2018,"vehicle",35097
"FCV","Car",2034,"sales","HOP",2018,"vehicle",1676
"FFV","Car",2034,"sales","HOP",2018,"vehicle",347003
"HEV","Car",2034,"sales","HOP",2018,"vehicle",391823
"ICEV-D","Car",2034,"sales","HOP",2018,"vehicle",10142
"ICEV-G","Car",2034,"sales","HOP",2018,"vehicle",7158760
"PHEV20","Car",2034,"sales","HOP",2018,"vehicle",18554
"PHEV40","Car",2034,"sales","HOP",2018,"vehicle",43149
"BEV100","Light truck",2034,"sales","HOP",2018,"vehicle",5420
"BEV300","Light truck",2034,"sales","HOP",2018,"vehicle",4834
"CNG","Light truck",2034,"sales","HOP",2018,"vehicle",60036
"FCV","Light truck",2034,"sales","HOP",2018,"vehicle",1676
"FFV","Light truck",2034,"sales","HOP",2018,"vehicle",869892
"HEV","Light truck",2034,"sales","HOP",2018,"vehicle",100873
"ICEV-D","Light truck",2034,"sales","HOP",2018,"vehicle",127007
"ICEV-G","Light truck",2034,"sales","HOP",2018,"vehicle",5610459
"PHEV20","Light truck",2034,"sales","HOP",2018,"vehicle",29369
"PHEV40","Light truck",2034,"sales","HOP",2018,"vehicle",7102
"BEV100","Car",2035,"sales","HOP",2018,"vehicle",28287
"BEV300","Car",2035,"sales","HOP",2018,"vehicle",23475
"CNG","Car",2035,"sales","HOP",2018,"vehicle",34616
"FCV","Car",2035,"sales","HOP",2018,"vehicle",1653
"FFV","Car",2035,"sales","HOP",2018,"vehicle",342241
"HEV","Car",2035,"sales","HOP",2018,"vehicle",386446
"ICEV-D","Car",2035,"sales","HOP",2018,"vehicle",10003
"ICEV-G","Car",2035,"sales","HOP",2018,"vehicle",7060530
"PHEV20","Car",2035,"sales","HOP",2018,"vehicle",18299
"PHEV40","Car",2035,"sales","HOP",2018,"vehicle",42557
"BEV100","Light truck",2035,"sales","HOP",2018,"vehicle",5346
"BEV300","Light truck",2035,"sales","HOP",2018,"vehicle",4767
"CNG","Light truck",2035,"sales","HOP",2018,"vehicle",59212
"FCV","Light truck",2035,"sales","HOP",2018,"vehicle",1653
"FFV","Light truck",2035,"sales","HOP",2018,"vehicle",857956
"HEV","Light truck",2035,"sales","HOP",2018,"vehicle",99489
"ICEV-D","Light truck",2035,"sales","HOP",2018,"vehicle",125265
"ICEV-G","Light truck",2035,"sales","HOP",2018,"vehicle",5533474
"PHEV20","Light truck",2035,"sales","HOP",2018,"vehicle",28966
"PHEV40","Light truck",2035,"sales","HOP",2018,"vehicle",7005
"BEV100","Car",2036,"sales","HOP",2018,"vehicle",28008
"BEV300","Car",2036,"sales","HOP",2018,"vehicle",23244
"CNG","Car",2036,"sales","HOP",2018,"vehicle",34275
"FCV","Car",2036,"sales","HOP",2018,"vehicle",1637
"FFV","Car",2036,"sales","HOP",2018,"vehicle",338870
"HEV","Car",2036,"sales","HOP",2018,"vehicle",382639
"ICEV-D","Car",2036,"sales","HOP",2018,"vehicle",9905
"ICEV-G","Car",2036,"sales","HOP",2018,"vehicle",6990973
"PHEV20","Car",2036,"sales","HOP",2018,"vehicle",18119
"PHEV40","Car",2036,"sales","HOP",2018,"vehicle",42137
"BEV100","Light truck",2036,"sales","HOP",2018,"vehicle",5293
"BEV300","Light truck",2036,"sales","HOP",2018,"vehicle",4720
"CNG","Light truck",2036,"sales","HOP",2018,"vehicle",58629
