"Technology","Size","Year","Data_type","Aeo_case","Aeo_year","Unit","Value"
"BEV300","Light truck",2031,"sales","LOP",2018,"vehicle",5734
"CNG","Light truck",2031,"sales","LOP",2018,"vehicle",71212
"FCV","Light truck",2031,"sales","LOP",2018,"vehicle",1988
"FFV","Light truck",2031,"sales","LOP",2018,"vehicle",1031807
"HEV","Light truck",2031,"sales","LOP",2018,"vehicle",119644
"ICEV-D","Light truck",2031,"sales","LOP",2018,"vehicle",150640
"ICEV-G","Light truck",2031,"sales","LOP",2018,"vehicle",6654766
"PHEV20","Light truck",2031,"sales","LOP",2018,"vehicle",34836
"PHEV40","Light truck",2031,"sales","LOP",2018,"vehicle",8425
"BEV100","Car",2032,"sales","LOP",2018,"vehicle",34111
"BEV300","Car",2032,"sales","LOP",2018,"vehicle",28310
"CNG","Car",2032,"sales","LOP",2018,"vehicle",41744
"FCV","Car",2032,"sales","LOP",2018,"vehicle",1994
"FFV","Car",2032,"sales","LOP",2018,"vehicle",412721
"HEV","Car",2032,"sales","LOP",2018,"vehicle",466023
"ICEV-D","Car",2032,"sales","LOP",2018,"vehicle",12063
"ICEV-G","Car",2032,"sales","LOP",2018,"vehicle",8514527
"PHEV20","Car",2032,"sales","LOP",2018,"vehicle",22068
"PHEV40","Car",2032,"sales","LOP",2018,"vehicle",51321
"BEV100","Light truck",2032,"sales","LOP",2018,"vehicle",6447
"BEV300","Light truck",2032,"sales","LOP",2018,"vehicle",5749
"CNG","Light truck",2032,"sales","LOP",2018,"vehicle",71407
"FCV","Light truck",2032,"sales","LOP",2018,"vehicle",1994
"FFV","Light truck",2032,"sales","LOP",2018,"vehicle",1034633
"HEV","Light truck",2032,"sales","LOP",2018,"vehicle",119972
"ICEV-D","Light truck",2032,"sales","LOP",2018,"vehicle",151053
"ICEV-G","Light truck",2032,"sales","LOP",2018,"vehicle",6672996
"PHEV20","Light truck",2032,"sales","LOP",2018,"vehicle",34931
"PHEV40","Light truck",2032,"sales","LOP",2018,"vehicle",8448
"BEV100","Car",2033,"sales","LOP",2018,"vehicle",34276
"BEV300","Car",2033,"sales","LOP",2018,"vehicle",28447
"CNG","Car",2033,"sales","LOP",2018,"vehicle",41946
"FCV","Car",2033,"sales","LOP",2018,"vehicle",2003
"FFV","Car",2033,"sales","LOP",2018,"vehicle",414713
"HEV","Car",2033,"sales","LOP",2018,"vehicle",468272
"ICEV-D","Car",2033,"sales","LOP",2018,"vehicle",12121
"ICEV-G","Car",2033,"sales","LOP",2018,"vehicle",8555621
"PHEV20","Car",2033,"sales","LOP",2018,"vehicle",22174
"PHEV40","Car",2033,"sales","LOP",2018,"vehicle",51568
"BEV100","Light truck",2033,"sales","LOP",2018,"vehicle",6478
"BEV300","Light truck",2033,"sales","LOP",2018,"vehicle",5777
"CNG","Light truck",2033,"sales","LOP",2018,"vehicle",71752
"FCV","Light truck",2033,"sales","LOP",2018,"vehicle",2003
"FFV","Light truck",2033,"sales","LOP",2018,"vehicle",1039627
"HEV","Light truck",2033,"sales","LOP",2018,"vehicle",120551
"ICEV-D","Light truck",2033,"sales","LOP",2018,"vehicle",151782
"ICEV-G","Light truck",2033,"sales","LOP",2018,"vehicle",6705202
"PHEV20","Light truck",2033,"sales","LOP",2018,"vehicle",35100
"PHEV40","Light truck",2033,"sales","LOP",2018,"vehicle",8488
"BEV100","Car",2034,"sales","LOP",2018,"vehicle",34628
"BEV300","Car",2034,"sales","LOP",2018,"vehicle",28739
"CNG","Car",2034,"sales","LOP",2018,"vehicle",42377
"FCV","Car",2034,"sales","LOP",2018,"vehicle",2024
"FFV","Car",2034,"sales","LOP",2018,"vehicle",418979
"HEV","Car",2034,"sales","LOP",2018,"vehicle",473090
"ICEV-D","Car",2034,"sales","LOP",2018,"vehicle",12246
"ICEV-G","Car",2034,"sales","LOP",2018,"vehicle",8643646
"PHEV20","Car",2034,"sales","LOP",2018,"vehicle",22402
"PHEV40","Car",2034,"sales","LOP",2018,"vehicle",52099
"BEV100","Light truck",2034,"sales","LOP",2018,"vehicle",6544
"BEV300","Light truck",2034,"sales","LOP",2018,"vehicle",5837
"CNG","Light truck",2034,"sales","LOP",2018,"vehicle",72490
"FCV","Light truck",2034,"sales","LOP",2018,"vehicle",2024
"FFV","Light truck",2034,"sales","LOP",2018,"vehicle",1050323
"HEV","Light truck",2034,"sales","LOP",2018,"vehicle",121791
"ICEV-D","Light truck",2034,"sales","LOP",2018,"vehicle",153343
"ICEV-G","Light truck",2034,"sales","LOP",2018,"vehicle",6774189
"PHEV20","Light truck",2034,"sales","LOP",2018,"vehicle",35461
"PHEV40","Light truck",2034,"sales","LOP",2018,"vehicle",8576
"BEV100","Car",2035,"sales","LOP",2018,"vehicle",34880
"BEV300","Car",2035,"sales","LOP",2018,"vehicle",28948
"CNG","Car",2035,"sales","LOP",2018,"vehicle",42685
"FCV","Car",2035,"sales","LOP",2018,"vehicle",2039
"FFV","Car",2035,"sales","LOP",2018,"vehicle",422024
"HEV","Car",2035,"sales","LOP",2018,"vehicle",476528
"ICEV-D","Car",2035,"sales","LOP",2018,"vehicle",12335
"ICEV-G","Car",2035,"sales","LOP",2018,"vehicle",8706461
"PHEV20","Car",2035,"sales","LOP",2018,"vehicle",22565
"PHEV40","Car",2035,"sales","LOP",2018,"vehicle",52477
"BEV100","Light truck",2035,"sales","LOP",2018,"vehicle",6592
"BEV300","Light truck",2035,"sales","LOP",2018,"vehicle",5879
"CNG","Light truck",2035,"sales","LOP",2018,"vehicle",73017
"FCV","Light truck",2035,"sales","LOP",2018,"vehicle",2039
"FFV","Light truck",2035,"sales","LOP",2018,"vehicle",1057956
"HEV","Light truck",2035,"sales","LOP",2018,"vehicle",122676
"ICEV-D","Light truck",2035,"sales","LOP",2018,"vehicle",154458
"ICEV-G","Light truck",2035,"sales","LOP",2018,"vehicle",6823418
"PHEV20","Light truck",2035,"sales","LOP",2018,"vehicle",35719
"PHEV40","Light truck",2035,"sales","LOP",2018,"vehicle",8638
"BEV100","Car",2036,"sales","LOP",2018,"vehicle",35067
"BEV300","Car",2036,"sales","LOP",2018,"vehicle",29103
"CNG","Car",2036,"sales","LOP",2018,"vehicle",42914
"FCV","Car",2036,"sales","LOP",2018,"vehicle",2049
"FFV","Car",2036,"sales","LOP",2018,"vehicle",424289
"HEV","Car",2036,"sales","LOP",2018,"vehicle",479086
"ICEV-D","Car",2036,"sales","LOP",2018,"vehicle",12401
"ICEV-G","Car",2036,"sales","LOP",2018,"vehicle",8753183
"PHEV20","Car",2036,"sales","LOP",2018,"vehicle",22686
"PHEV40","Car",2036,"sales","LOP",2018,"vehicle",52759
"BEV100","Light truck",2036,"sales","LOP",2018,"vehicle",6627
"BEV300","Light truck",2036,"sales","LOP",2018,"vehicle",5910
"CNG","Light truck",2036,"sales","LOP",2018,"vehicle",73409
