"LWscen","i_year","Size","Technology","Phase","Process","LCIA","value","vh_lca_yrs","Case","x_axis"
"BAU","2016","Car","PHEV40","Primary Material Production","Cast Iron","GWP100",65.8987750244127,"2016","Curent Lightweighting","PHEV40 BAU"
"Aluminum Maximum","2016","Light truck","PHEV40","Primary Material Production","Cast Iron","GWP100",26.6473581513584,"2016","Curent Lightweighting","PHEV40 Aluminum Maximum"
"BAU","2016","Light truck","PHEV40","Primary Material Production","Cast Iron","GWP100",73.0803512007641,"2016","Curent Lightweighting","PHEV40 BAU"
"Aluminum Maximum","2016","Car","BEV100","Secondary Material Production","Cast Iron","GWP100",0,"2016","Curent Lightweighting","BEV100 Aluminum Maximum"
"BAU","2016","Car","BEV100","Secondary Material Production","Cast Iron","GWP100",6.50880470992633,"2016","Curent Lightweighting","BEV100 BAU"
"Aluminum Maximum","2016","Light truck","BEV100","Secondary Material Production","Cast Iron","GWP100",0,"2016","Curent Lightweighting","BEV100 Aluminum Maximum"
"BAU","2016","Light truck","BEV100","Secondary Material Production","Cast Iron","GWP100",7.77094861919219,"2016","Curent Lightweighting","BEV100 BAU"
"Aluminum Maximum","2016","Car","BEV300","Secondary Material Production","Cast Iron","GWP100",0,"2016","Curent Lightweighting","BEV300 Aluminum Maximum"
"BAU","2016","Car","BEV300","Secondary Material Production","Cast Iron","GWP100",6.35026503187683,"2016","Curent Lightweighting","BEV300 BAU"
"Aluminum Maximum","2016","Light truck","BEV300","Secondary Material Production","Cast Iron","GWP100",0,"2016","Curent Lightweighting","BEV300 Aluminum Maximum"
"BAU","2016","Light truck","BEV300","Secondary Material Production","Cast Iron","GWP100",7.5341119120713,"2016","Curent Lightweighting","BEV300 BAU"
"Aluminum Maximum","2016","Car","HEV","Secondary Material Production","Cast Iron","GWP100",11.9311935331916,"2016","Curent Lightweighting","HEV Aluminum Maximum"
"BAU","2016","Car","HEV","Secondary Material Production","Cast Iron","GWP100",31.6458029872532,"2016","Curent Lightweighting","HEV BAU"
"Aluminum Maximum","2016","Light truck","HEV","Secondary Material Production","Cast Iron","GWP100",14.34354250473,"2016","Curent Lightweighting","HEV Aluminum Maximum"
"BAU","2016","Light truck","HEV","Secondary Material Production","Cast Iron","GWP100",39.3988402220392,"2016","Curent Lightweighting","HEV BAU"
"Aluminum Maximum","2016","Car","ICEV-G","Secondary Material Production","Cast Iron","GWP100",19.9528728219366,"2016","Curent Lightweighting","ICEV-G Aluminum Maximum"
"BAU","2016","Car","ICEV-G","Secondary Material Production","Cast Iron","GWP100",47.1708680574058,"2016","Curent Lightweighting","ICEV-G BAU"
"Aluminum Maximum","2016","Light truck","ICEV-G","Secondary Material Production","Cast Iron","GWP100",23.8516078701831,"2016","Curent Lightweighting","ICEV-G Aluminum Maximum"
