"Scenario","Size","Technology","Subcomponent","feature_wgt","Case","Year","value"
"BAU","Light truck","PHEV20","Electronic Controller","n","Low",2018,-0.312096919248084
"BAU","Car","PHEV40","Electronic Controller","n","Low",2018,-0.395079197142159
"BAU","Light truck","PHEV40","Electronic Controller","n","Low",2018,-0.861393632917938
"BAU","Car","PHEV20","Engine","n","Low",2018,-1.2874278646967
"BAU","Light truck","PHEV20","Engine","n","Low",2018,-2.07158631534691
"BAU","Car","PHEV40","Engine","n","Low",2018,-3.07189615528409
"BAU","Light truck","PHEV40","Engine","n","Low",2018,-5.89257180517021
"BAU","Car","BEV100","EV Battery","n","Low",2018,-29.3339533550997
"BAU","Light truck","BEV100","EV Battery","n","Low",2018,-60.047979247105
"BAU","Car","BEV300","EV Battery","n","Low",2018,-137.513791864258
"BAU","Light truck","BEV300","EV Battery","n","Low",2018,-225.270057711453
"BAU","Car","PHEV20","EV Battery","n","Low",2018,-8.43060944334034
"BAU","Light truck","PHEV20","EV Battery","n","Low",2018,-14.0178666189537
"BAU","Car","PHEV40","EV Battery","n","Low",2018,-18.4400607901081
"BAU","Light truck","PHEV40","EV Battery","n","Low",2018,-38.0577876018978
"BAU","Car","BEV100","Exterior","n","Low",2018,-0.443203733612933
"BAU","Light truck","BEV100","Exterior","n","Low",2018,-0.907859256085587
"BAU","Car","BEV300","Exterior","n","Low",2018,-2.09038698065113
"BAU","Light truck","BEV300","Exterior","n","Low",2018,-3.42965087891267
"BAU","Car","PHEV20","Exterior","n","Low",2018,-0.135028831746112
"BAU","Light truck","PHEV20","Exterior","n","Low",2018,-0.225424302605219
"BAU","Car","PHEV40","Exterior","n","Low",2018,-0.308662568016082
"BAU","Light truck","PHEV40","Exterior","n","Low",2018,-0.636884154865839
"BAU","Car","PHEV20","Generator","n","Low",2018,-0.318262880010444
"BAU","Light truck","PHEV20","Generator","n","Low",2018,-0.575074876036567
"BAU","Car","PHEV40","Generator","n","Low",2018,-1.07001853796756
"BAU","Light truck","PHEV40","Generator","n","Low",2018,-2.37119344563513
"BAU","Car","BEV100","Interior","n","Low",2018,-0.997208400629148
"BAU","Light truck","BEV100","Interior","n","Low",2018,-2.0426833261925
"BAU","Car","BEV300","Interior","n","Low",2018,-4.70337070646502
"BAU","Light truck","BEV300","Interior","n","Low",2018,-7.71671447755347
"BAU","Car","PHEV20","Interior","n","Low",2018,-0.303814871428813
"BAU","Light truck","PHEV20","Interior","n","Low",2018,-0.50720468086169
