"Year","Value","Data_type","Region","Source","Unit","Aeo_year","Aeo_case"
2046,1.532712,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"REF"
2047,1.531144,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"REF"
2048,1.529856,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"REF"
2049,1.528528,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"REF"
2050,1.527175,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"REF"
2016,48.694744,"Electricity Generation","Reliability First Corporation / East","Coal","billion kilowatthours",2018,"REF"
2017,64.909256,"Electricity Generation","Reliability First Corporation / East","Coal","billion kilowatthours",2018,"REF"
2018,66.055214,"Electricity Generation","Reliability First Corporation / East","Coal","billion kilowatthours",2018,"REF"
2019,63.125114,"Electricity Generation","Reliability First Corporation / East","Coal","billion kilowatthours",2018,"REF"
2020,61.671898,"Electricity Generation","Reliability First Corporation / East","Coal","billion kilowatthours",2018,"REF"
2021,65.188087,"Electricity Generation","Reliability First Corporation / East","Coal","billion kilowatthours",2018,"REF"
2022,64.778091,"Electricity Generation","Reliability First Corporation / East","Coal","billion kilowatthours",2018,"REF"
2023,64.464996,"Electricity Generation","Reliability First Corporation / East","Coal","billion kilowatthours",2018,"REF"
2024,63.557224,"Electricity Generation","Reliability First Corporation / East","Coal","billion kilowatthours",2018,"REF"
